filename, n, cpu_time_used
1027.node, 1027, 0.004409
1028.node, 1028, 0.004584
1029.node, 1029, 0.004561
1030.node, 1030, 0.004343
1031.node, 1031, 0.004188
1032.node, 1032, 0.004414
1033.node, 1033, 0.004706
1034.node, 1034, 0.004266
1035.node, 1035, 0.004754
1036.node, 1036, 0.004308
1037.node, 1037, 0.004194
1038.node, 1038, 0.00457
1039.node, 1039, 0.004504
1040.node, 1040, 0.004389
1041.node, 1041, 0.004453
1042.node, 1042, 0.004618
1043.node, 1043, 0.004531
1044.node, 1044, 0.004404
1045.node, 1045, 0.004512
1046.node, 1046, 0.004365
1047.node, 1047, 0.005164
